EMPLOYER_NAME,SOC_NAME,TOTAL_WORKERS,FULL_TIME_POSITION,PREVAILING_WAGE,WAGE_RATE_OF_PAY_FROM,CASE_STATUS,diff_wage_prevailing
IBM INDIA PRIVATE LIMITED,RELIGIOUS WORKERS,1,1,75795,75795,DENIED,0
TRENDSETTERS STYLZ and CUTZ,SCIENTIST,1,1,18200,18200,DENIED,0
NATIONAL OILWELL VARCO LP,COMPUTER OCCUPATION,1,1,70806,73500,DENIED,2694
PAGANO MEDIA INC,COMPUTER OCCUPATION,1,1,49317,70000,DENIED,20683
SWITCHLANE INC,EDUCATION,1,1,63398,63500,DENIED,102
DELOITTE CONSULTING LLP,LAWYERS AND LEGAL SUPPORT WORKERS,155,1,63315,63315,DENIED,0
GOOGLE INC,SCIENTIST,1,1,98987,121000,DENIED,22013
IBM CORPORATION,SCIENTIST,1,1,60944,56900,DENIED,4044
SITEL OPERATING CORPORATION,ENGINEERS,1,1,87485,90000,DENIED,2515
SUTTER HEALTH,EDUCATION,1,1,48110,97500,DENIED,49390
SUTTER HEALTH,PUBLIC RELATIONS,1,1,134389,140000,DENIED,5611
VISTANA VACATION OWNERSHIP INC,EDUCATION,1,1,81786,87214,DENIED,5428
IMC CONSTRUCTION CORP,SCIENTIST,1,1,41600,41600,DENIED,0
LAURION CAPITAL MANAGEMENT LP,SCIENTIST,1,1,124987,100000,DENIED,24987
MAANTIC INC,SCIENTIST,1,1,84698,84698,DENIED,0
MASSACHUSETTS EYE AND EAR INFIRMARY,SCIENTIST,1,1,71459,77316,DENIED,5857
SOUTHERN MEDICAL PARTNERS LLC,SCIENTIST,2,0,131310.4,131310.4,DENIED,0
BRISTLECONE INC,ANALYSTS,15,1,78333,109617,DENIED,31284
BROTHER INTERNATIONAL CORPORATION,ANALYSTS,1,1,66300,110305.64,DENIED,44005.64
DANA FARBER CANCER INSTITUTE,COMPUTER OCCUPATION,1,1,69659,69654,DENIED,5
BEST BUY CO INC,LAWYERS AND LEGAL SUPPORT WORKERS,1,1,99500,100000,DENIED,500
THE BROOKINGS INSTITUTION,HEALTHCARE,1,1,116189,110000,DENIED,6189
CLOUD SOURCE INC,HEALTHCARE,1,1,64501,62234,DENIED,2267
EBSCO INDUSTRIES INC,SCIENTIST,1,1,84947,125000,DENIED,40053
GLOBAL CARGO CORPORATION,SCIENTIST,1,1,36338,44200,DENIED,7862
GLOBAL INFORMATION TECHNOLOGY INC,SCIENTIST,1,1,55910,60000,DENIED,4090
GREEN MEADOW SCHOOL,SCIENTIST,6,0,24960,24960,DENIED,0
KFORCE INC,PUBLIC RELATIONS,10,1,124592,74880,DENIED,49712
LIMELIGHT NETWORKS INC,PUBLIC RELATIONS,1,1,92435,107500,DENIED,15065
MUNKEE APPS INC,EDUCATION,1,1,78998.4,78000,DENIED,998.4
PATTERSON TULLY ENTERPRISES LLC,SALES AND RELATED WORKERS,1,1,33134.4,37440,DENIED,4305.6
QTECH CONSULTING GROUP INC,SALES AND RELATED WORKERS,1,1,67829,80000,DENIED,12171
CANCER RESEARCH INSTITUTE INC,SCIENTIST,1,1,58386,105000,DENIED,46614
CANCER RESEARCH INSTITUTE INC,SCIENTIST,1,1,58386,105000,DENIED,46614
SALESFORCECOM INC,SCIENTIST,1,1,147846,147846,DENIED,0
SOFTHQ,SCIENTIST,1,1,47154,60000,DENIED,12846
STONEWINGS II LLC,SCIENTIST,1,1,49462,60000,DENIED,10538
XIFIN INC,SCIENTIST,1,1,83346,98500,DENIED,15154
ELLIOTT SYSTEMS LLC,COMPUTER OCCUPATION,1,1,30160,22880,DENIED,7280
PRITHIBI CONSULTING SERVICES,COMPUTER OCCUPATION,1,0,102772.8,104000,DENIED,1227.2
BROKEN THREADS INC,MARKETING,1,1,103147,104000,DENIED,853
COMMONWEALTH UTILITIES CORPORATION,MARKETING,1,1,76396,76396,DENIED,0
DIVERSIFIED OUTSOURCE SERVICES INC,MARKETING,1,1,54038,58000,DENIED,3962
GROUPON INC,MARKETING,1,1,91853,70000,DENIED,21853
IBM INDIA PRIVATE LIMITED,MARKETING,1,1,83013,83013,DENIED,0
TECHDATA SERVICE COMPANY LLC,MARKETING,1,1,76377.6,62234,DENIED,14143.6
WAYNE STATE UNIVERSITY,MARKETING,1,1,49109,102882,DENIED,53773
INDI JU DENTAL PC,MULTIMEDIA ARTISTS AND ANIMATORS,1,1,113110.4,100000,DENIED,13110.4
PACSENSE CORP,HEALTHCARE,1,1,38917,51000,DENIED,12083
SYNECHRON INC,HEALTHCARE,1,1,91300,93500,DENIED,2200
ANDERSEN CORPORATION,DOCTORS,1,1,93080,93080,DENIED,0
MUNKEE APPS LLC,DOCTORS,1,1,78998,80000,DENIED,1002
NCS PEARSON INC,DOCTORS,1,1,78800,82214,DENIED,3414
SAATCHI and SAATCHI NORTH AMERICA INC,SCIENTIST,1,1,64000,64000,DENIED,0
HI TECH BANGLA INC,SCIENTIST,1,1,72841.6,74880,DENIED,2038.4
ADVANCED ENERGY INDUSTRIES INC,SCIENTIST,1,1,108805,108000,DENIED,805
BRIGHAM AND WOMENS HOSPITAL,EDUCATION,1,1,82503,83640,DENIED,1137
JPMORGAN CHASE and CO,REAL ESTATE,1,1,80400,80400,DENIED,0
PAYPAL INC,SCIENTIST,1,1,130603,113381,DENIED,17222
STUDENTUNVIERSECOM INC,SCIENTIST,1,1,66477,85000,DENIED,18523
DELOITTE CONSULTING LLP,SCIENTIST,15,1,59779,60000,DENIED,221
DELOITTE TRANSACTIONS AND BUSINESS ANALYTICS LLP,COMPUTER OCCUPATION,15,1,57300,68000,DENIED,10700
CISCO SYSTEMS INC,MATHEMATICIANS AND STATISTICIANS,1,1,137571,137571,DENIED,0
HERMANS MODERN BAKERY INC,COMPUTER OCCUPATION,1,1,18720,31200,DENIED,12480
AVAYA INC,MANAGERS,1,1,102121,102100,DENIED,21
CAPITAL ONE SERVICES LLC,MANAGERS,1,1,79100,80000,DENIED,900
CYIENT INC,MANAGERS,1,1,67891,66954.16,DENIED,936.84
HARLAND CLARKE CORPORATION,MANAGERS,1,1,80600,90000,DENIED,9400
JC USA INC,MANAGERS,1,1,92872,92000,DENIED,872
JPMORGAN CHASE andAMP CO,MARKETING,1,1,111405,96000,DENIED,15405
SAINT LOUIS UNIVERSITY GME,MARKETING,1,1,50898,50000,DENIED,898
WORLD WIDE TECHNOLOGY HOLDING COMPANY INC,MARKETING,1,1,104811,105000,DENIED,189
AUDUBON BIOSCIENCE CO,MARKETING,1,0,100942.4,108160,DENIED,7217.6
DELOITTE CONSULTING LLP,MARKETING,15,1,74734,82000,DENIED,7266
GULFSTREAM AEROSPACE CORPORATION,MARKETING,1,1,91666,90131,DENIED,1535
HENDRICKSON USA LLC,MARKETING,1,1,107578,107578,DENIED,0
NITEOSOFT INC,MARKETING,1,1,89669,70221,DENIED,19448
PHILIPS LIGHTING NORTH AMERICA CORPORATION,MARKETING,10,1,102630,102630,DENIED,0
PULSE SECURE LLC,MARKETING,1,1,107365,110000,DENIED,2635
TEXARA SOLUTIONS LLC,MATHEMATICIANS AND STATISTICIANS,1,1,63482,65000,DENIED,1518
WESTERN DIGITAL TECHNOLOGIES INC,MATHEMATICIANS AND STATISTICIANS,1,1,108805,100000,DENIED,8805
AB GROUP PACKAGING INC,MATHEMATICIANS AND STATISTICIANS,2,1,29182,37440,DENIED,8258
CRYSTAL GLOBE CONSCIOUS ENTERPRISE LLC,COUNSELORS,1,1,39395,40000,DENIED,605
EDGEMONT CAPITAL PARTNERS LP,MULTIMEDIA ARTISTS AND ANIMATORS,1,1,65749,90000,DENIED,24251
INTERACTIONS LLC,DOCTORS,1,1,114088,115000,DENIED,912
ITSOFT LLC,FINANCE,1,1,86400,83678,DENIED,2722
MARY ANN CONTRERAS WOODS,HEALTHCARE,1,1,21486.4,21486.4,DENIED,0
MILLENNIUM GLOBAL TECHNOLOGIES,EDUCATION,2,1,62005,75000,DENIED,12995
SYRAINFOTEK LLC,SCIENTIST,1,1,82160,65000,DENIED,17160
UNIFIED SCHOOL DISTRICT NO 500,ENGINEERS,1,1,52672,52672,DENIED,0
UST GLOBAL INC,EDUCATION,1,1,67859,67500,DENIED,359
ACCENTURE LLP,ENTERTAINMENT,1,1,66234,62234,DENIED,4000
ANIRA SOLUTIONS INC,PUBLIC RELATIONS,1,1,64813,75000,DENIED,10187
ANIRA SOLUTIONS INC,PUBLIC RELATIONS,1,1,78083,85000,DENIED,6917
ANIRA SOLUTIONS INC,EDUCATION,1,1,77522,85000,DENIED,7478
ANIRA SOLUTIONS INC,SCIENTIST,1,1,65208,66000,DENIED,792
HP INC,SCIENTIST,10,1,137390,137384,DENIED,6
ZENGS FABRIC LLC,SCIENTIST,1,0,56680,76960,DENIED,20280
NATIONAL COLLEGIATE SCOUTING ASSOCIATION LLC,MATHEMATICIANS AND STATISTICIANS,1,1,65000,65000,DENIED,0
GARDNER FAMILY CARE CORPORATION,MATHEMATICIANS AND STATISTICIANS,1,1,47471.55,47471.55,DENIED,0
VIGILANT TECHNOLOGIES LLC,MATHEMATICIANS AND STATISTICIANS,1,1,52874,52874,DENIED,0
LETS DANCE FL LLC,COMPUTER OCCUPATION,1,0,20924.8,20924.8,DENIED,0
ANIRA SOLUTIONS INC,SCIENTIST,1,1,62379,70000,DENIED,7621
ANIRA SOLUTIONS INC,EDUCATION,1,1,71906,80000,DENIED,8094
CAPGEMINI AMERICA INC,REAL ESTATE,1,1,93163,76900,DENIED,16263
DELOITTE CONSULTING LLP,PUBLIC RELATIONS,15,1,89648,84000,DENIED,5648
DUSARA CORPORATION,PUBLIC RELATIONS,1,1,55931,56000,DENIED,69
ERNST and YOUNG US LLP,REAL ESTATE,1,1,69430,68450,DENIED,980
IBM INDIA PRIVATE LIMITED,SALES AND RELATED WORKERS,1,1,68557,67813,DENIED,744
ITCAPS LLC,SCIENTIST,1,1,111404.8,108700.8,DENIED,2704
KINGS COLLEGE,SCIENTIST,1,1,30640,50000,DENIED,19360
NORC,SCIENTIST,1,1,111779,111779,DENIED,0
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,SCIENTIST,1,1,62754,78000,DENIED,15246
SOUNDCLOUD INC,SCIENTIST,1,1,108555,102000,DENIED,6555
TOP QUEST INC,SCIENTIST,1,0,47881.6,47881.6,DENIED,0
UNITEDSTARS INTERNATIONAL LTD,SCIENTIST,1,0,60860.8,60860.8,DENIED,0
BAYLOR COLLEGE OF MEDICINE,SCIENTIST,1,1,47528,56375,DENIED,8847
CAPITAL ONE INVESTING LLC,SCIENTIST,1,1,80900,87000,DENIED,6100
HIDALGO MEDICAL SERVICES,SCIENTIST,1,1,41600,50381.91,DENIED,8781.91
IBM INDIA PRIVATE LIMITED,SCIENTIST,1,1,73486,72613,DENIED,873
IMC CONSTRUCTION CORP,SCIENTIST,1,1,41600,41600,DENIED,0
IMG SYSTEMS IN C,SCIENTIST,1,1,56680,75000,DENIED,18320
NATIONAL COMPREHENSIVE CANCER NETWORK INC,SCIENTIST,1,1,68515,68515,DENIED,0
SSB SOFTWARE TECHNOLOGIES INC,SCIENTIST,1,1,66518,66515,DENIED,3
WIPRO LIMITED,SCIENTIST,2,1,71802,71802,DENIED,0
NATIONAL COLLEGIATE SCOUTING ASSOCIATION LLC,SALES AND RELATED WORKERS,1,1,74734,65000,DENIED,9734
GREEN SENSE FARMS LLC,MARKETING,1,1,65000,65000,DENIED,0
PSI INTERNATIONAL INC,MARKETING,1,1,58489.6,61235.2,DENIED,2745.6
AFFORDABLE HOUSING ASSOCIATES,MARKETING,1,1,56804.8,49004.8,DENIED,7800
AMAZON WEB SERVICES INC,MARKETING,1,1,83678,80005,DENIED,3673
BANCO POPULAR NORTH AMERICA,MARKETING,1,1,74734,86000,DENIED,11266
DELOITTE CONSULTING LLP,MATHEMATICIANS AND STATISTICIANS,15,1,91666,95160,DENIED,3494
LENORA SYSTEMS INC,MATHEMATICIANS AND STATISTICIANS,1,1,60050,60050,DENIED,0
STANFORD UNIVERSITY/SLAC NATIONAL ACCELERATOR LABORATORY,HEALTHCARE,1,1,53976,72744,DENIED,18768
THE PENNSYLVANIA STATE UNIVERSITY,HEALTHCARE,1,1,56010,67968,DENIED,11958
APEX LOGISTICS INTERNATIONAL ORD INC,HEALTHCARE,1,0,53872,53872,DENIED,0
EMERGENCETEK GROUP INC,HEALTHCARE,1,1,82555,85000,DENIED,2445
LAW OFFICE OF W OHYAN PLLC,SCIENTIST,1,0,71656,71656,DENIED,0
MORGAN STANLEY SERVICES GROUP INC,SCIENTIST,1,1,131997,140000,DENIED,8003
RIVERBED TECHNOLOGY INC,EDUCATION,1,1,120662,120662,DENIED,0
TW2M DESIGN/BUILD LLC,FINANCE,1,0,38584,83200,DENIED,44616
CITIZENS FINANCIAL GROUP INC,EDUCATION,1,1,94600,94600,DENIED,0
NOBLESOFT SOLUTIONS INC,SCIENTIST,1,1,62234,60000,DENIED,2234
CYIENT INC,PUBLIC RELATIONS,1,1,66040,66040,DENIED,0
DELOITTE CONSULTING LLP,PUBLIC RELATIONS,15,1,63752,96000,DENIED,32248
PEORIA DENTAL CENTER GROUP LLC,SCIENTIST,1,1,36920,36920,DENIED,0
PRICEWATERHOUSECOOPERS LLP,SCIENTIST,1,1,54600,65500,DENIED,10900
UNITED HEALTHCARE SERVICES INC,SCIENTIST,1,1,103000,103000,DENIED,0
WELLINGTON MANAGEMENT COMPANY LLP,SCIENTIST,1,1,114192,140000,DENIED,25808
CAPGEMINI AMERICA INC,SCIENTIST,3,1,71781,71800,DENIED,19
CAPGEMINI AMERICA INC,SCIENTIST,3,1,61318,61400,DENIED,82
EMERGENCETEK GROUP INC,SCIENTIST,1,1,69389,85000,DENIED,15611
PATTERSON TULLY ENTERPRISES LLC,SCIENTIST,1,1,37440,37440,DENIED,0
PEAKER ENERGY GROUP LLC,SCIENTIST,1,1,88234,60000,DENIED,28234
ZYLOG SYSTEMS LIMITED,SCIENTIST,2,1,64813,70000,DENIED,5187
MAGNETI MARELLI HOLDING USA LLC,SCIENTIST,1,1,74381,91800,DENIED,17419
ECONSTRUCTUSA LLC,ANALYSTS,1,1,56514,65000,DENIED,8486
DELOITTE CONSULTING LLP,COMPUTER OCCUPATION,15,1,62213,62000,DENIED,213
A2Z DEVELOPMENT CENTER INC,MARKETING,1,1,124675,118500,DENIED,6175
AB GROUP PACKAGING INC,MARKETING,2,1,29182,37440,DENIED,8258
ADVANCED SYSTEMS FOR POWER ENGINEERING INC,MATHEMATICIANS AND STATISTICIANS,1,1,97323,90000,DENIED,7323
BELCAN ENGINEERING GROUP INC,CONSTRUCTION,1,1,69035.2,70595.2,DENIED,1560
COMMONWEALTH UTILITIES CORPORATION,HEALTHCARE,1,1,76396,76396,DENIED,0
DELOITTE CONSULTING LLP,HEALTHCARE,15,1,63752,96000,DENIED,32248
GENUINEIT LLC,COUNSELORS,1,1,60798,65000,DENIED,4202
HORIZON INTERNATIONAL TRD INC,HEALTHCARE,1,0,84052.8,84240,DENIED,187.2
LETS DANCE FL LLC,HEALTHCARE,1,0,19739.2,19739.2,DENIED,0
NEBRASKA FURNITURE MART INC,HEALTHCARE,1,1,98051,104852.54,DENIED,6801.54
PRICEWATERHOUSECOOPERS LLP,DOCTORS,1,1,64813,65500,DENIED,687
UMB BANK NA,DOCTORS,1,1,107598,107750,DENIED,152
ASC ARCH STRUCTURE CORPORATION,MECHANICS,1,1,20800,17680,DENIED,3120
GEORGIA STATE UNIVERSITY,EDUCATION,1,1,34730,45760,DENIED,11030
IMC CONSTRUCTION CORP,EDUCATION,1,1,41600,41600,DENIED,0
IMC CONSTRUCTION CORP,EDUCATION,1,1,41600,41600,DENIED,0
UNIVERSITY OF CALIFORNIA LOS ANGELES,PUBLIC RELATIONS,1,1,50316,50316,DENIED,0
O2 TECHNOLOGIES INC,SCIENTIST,1,1,94527,120000,DENIED,25473
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SCIENTIST,1,1,47445,68904,DENIED,21459
DELOITTE TAX LLP,EDUCATION,15,1,73008,74277,DENIED,1269
CALIFORNIA STATE UNIVERSITY FULLERTON,MATHEMATICIANS AND STATISTICIANS,1,1,55152,86940,DENIED,31788
CALIFORNIA STATE UNIVERSITY FULLERTON,MATHEMATICIANS AND STATISTICIANS,1,1,55152,73836,DENIED,18684
CONVERGE INFO SYSTEMS,HEALTHCARE,1,1,62754,62754,DENIED,0
HEINER INTERNATIONAL INC,HEALTHCARE,1,1,53040,72000,DENIED,18960
MASS DYNAMICS LLC,COUNSELORS,1,1,67226,67226,DENIED,0
PATTERSON TULLY ENTERPRISES LLC,ENTERTAINMENT,1,1,37440,37440,DENIED,0
YELLOWPAGESCOM LLC,HEALTHCARE,1,1,127608,127608,DENIED,0
BME and SONS INC,SCIENTIST,1,1,37939,37939,DENIED,0
CUMMINS INC,SCIENTIST,1,1,91021,83600,DENIED,7421
CISCO SYSTEMS INC,ANALYSTS,1,1,122641,122641,DENIED,0
EDUCATIONAL TESTING SERVICE,COMPUTER OCCUPATION,1,1,53250.08,85228,DENIED,31977.92
AVANT SYSTEMS INC,ANALYSTS,1,1,63398,63500,DENIED,102
BLUE SHIELD OF CALIFORNIA,ANALYSTS,1,1,98987,98987,DENIED,0
BLUE SKY ASSOCIATES LLC,ANALYSTS,1,1,64729.6,65520,DENIED,790.4
CREDIT SUISSE SERVICES USA LLC,COMPUTER OCCUPATION,1,1,95160,90000,DENIED,5160
ESSAR HOLDING INC,COMPUTER OCCUPATION,1,1,53144,53144,DENIED,0
ST LOUIS COLLEGE OF PHARMACY,EDUCATION,1,1,104400,118450,DENIED,14050
AVAYA INC,MARKETING,1,1,102149,109200,DENIED,7051
BME and SONS INC,DOCTORS,1,1,37939,37939,DENIED,0
IBM CORPORATION,MATHEMATICIANS AND STATISTICIANS,1,1,139838,138897.6,DENIED,940.4
IBM CORPORATION,MATHEMATICIANS AND STATISTICIANS,1,1,95846,77760,DENIED,18086
KNOWLEDGE BUILDERS INC,MATHEMATICIANS AND STATISTICIANS,4,1,65541,70000,DENIED,4459
LEX NIMBLE SOLUTIONS INC,MATHEMATICIANS AND STATISTICIANS,1,1,74173,74000,DENIED,173
MORNINGSTAR CAPITAL,HEALTHCARE,1,1,15080,66560,DENIED,51480
O2 TECHNOLOGIES INC,HEALTHCARE,1,1,94527,120000,DENIED,25473
SAMSUNG AUSTIN SEMICONDUCTOR LLC,MULTIMEDIA ARTISTS AND ANIMATORS,1,1,79851,72385,DENIED,7466
TENNESSEE DEPARTMENT OF CHILDRENS SERVICES,MULTIMEDIA ARTISTS AND ANIMATORS,1,1,62213,60420,DENIED,1793
TEXAS AandM UNIVERSITY CORPUS CHRISTI,DOCTORS,1,0,44241.6,44220.8,DENIED,20.8
AB GROUP PACKAGING INC,MECHANICS,2,1,29182,37440,DENIED,8258
BECKMAN COULTER INC,FINANCE,1,1,113402,110000,DENIED,3402
CHOI CAPITAL LAW PLLC,PUBLIC RELATIONS,1,0,135595.2,139360,DENIED,3764.8
COMPUNNEL SOFTWARE GROUP INC,PUBLIC RELATIONS,1,1,70803,63400,DENIED,7403
DELOITTE CONSULTING LLP,COUNSELORS,15,1,88639,88629,DENIED,10
GOOGLE INC,SCIENTIST,1,1,106101,110000,DENIED,3899
NORTHERN VIRGINIA FAMILY SERVICE,SCIENTIST,1,0,30306,35525.43,DENIED,5219.43
TEMPLE UNIVERSITY HEALTH SYSTEM,SCIENTIST,1,1,60925,65832,DENIED,4907
BERACHAH TECHNOLOGIES INC,SCIENTIST,3,1,47299,60000,DENIED,12701
HOUSTON COMMUNITY COLLEGE FOUNDATION,SCIENTIST,1,0,48859.2,48880,DENIED,20.8
KEANE SOFT INC,SCIENTIST,1,1,45178,60000,DENIED,14822
THERAPISTS 2 GO OCCUPATIONAL PHYSICAL and SPEECH LANGUAGE PATHOLOGIST S,SCIENTIST,1,0,87859.2,87859.2,DENIED,0
ALBERT EINSTEIN COLLEGE OF MEDICINE,SCIENTIST,1,1,61006,95000,DENIED,33994
COMPREHENSIVE HEALTH MANAGEMENT INC,ANALYSTS,1,1,107931,107931,DENIED,0
IBM INDIA PRIVATE LIMITED,ANALYSTS,1,1,82093,78181,DENIED,3912
KYLIN TV INC,ANALYSTS,1,1,62962,62962,DENIED,0
UNIVERSITY OF WISCONSIN MADISON,ANALYSTS,1,1,54829,65000,DENIED,10171
ALTIMETRIK CORP,ANALYSTS,1,1,141419,136718,DENIED,4701
RODALE INSTITUTE,COMPUTER OCCUPATION,1,1,61800,61800,DENIED,0
THE COOPER HEALTH SYSTEM,ENGINEERS,1,1,61194,85000,DENIED,23806
WIPRO LIMITED,MANAGERS,12,1,60000,60000,DENIED,0
ERNST and YOUNG US LLP,SCIENTIST,1,1,85946,137250,DENIED,51304
INSIGHT HEALTH ANALYTICS INC,SCIENTIST,1,0,60902.4,31200,DENIED,29702.4
PAYPAL INC,SCIENTIST,1,1,119231,135000,DENIED,15769
URBAN JUSTICE CENTER,SCIENTIST,1,1,45843,50000,DENIED,4157
KEANE SOFT INC,SCIENTIST,1,1,54912,60000,DENIED,5088
LARSEN and TOUBRO INFOTECH LIMITED,SCIENTIST,1,1,67766,67766,DENIED,0
DELOITTE and TOUCHE LLP,SCIENTIST,15,1,59218,62000,DENIED,2782
ECHIDNA INC,SCIENTIST,1,1,73424,75000,DENIED,1576
GOLDMAN SACHS and CO,SCIENTIST,1,1,104374,98800,DENIED,5574
TANISHA SYSTEMS INC,SCIENTIST,1,1,55910,60000,DENIED,4090
CHUANGYI METALS CORP,SCIENTIST,1,1,53872,53872,DENIED,0
PRICEWATERHOUSECOOPERS LLP,MATHEMATICIANS AND STATISTICIANS,1,1,55120,58000,DENIED,2880
LEXISNEXIS RISK DATA MANAGEMENT INC,ACCOUNTANTS,1,1,101300,101300,DENIED,0
STREIT and SU PLLC,ANALYSTS,1,1,73590.4,50000,DENIED,23590.4
GOOGLE INC,COMPUTER OCCUPATION,1,1,88604,90400,DENIED,1796
PECAN POINT OKLAHOMA LLC,COMPUTER OCCUPATION,10,1,0,24960,DENIED,24960
TOTAL TRANSIT ENTERPRISES LLC,COMPUTER OCCUPATION,1,1,76336,76500,DENIED,164
BRIGHTCOVE INC,MANAGERS,1,1,107744,129950,DENIED,22206
KENNESAW STATE UNIVERSITY,MARKETING,1,1,39420,85000,DENIED,45580
EQUITABLE PORTFOLIO CORPORATION,MARKETING,1,0,47278.4,24000,DENIED,23278.4
INNOVATIVE INFORMATION TECHNOLOGIESINC,MARKETING,1,1,54662,64813,DENIED,10151
CAPGEMINI AMERICA INC LEGACY CAPGEMINI FINANCIAL SERVICES INC,MARKETING,1,1,90584,106850,DENIED,16266
HARVARD MEDICAL FACULTY PHYSICIANS AT BETH ISRAEL DEACONESS MEDICAL CE,MATHEMATICIANS AND STATISTICIANS,1,1,97053,98600,DENIED,1547
NEACE ENTERPRISES LLC,COUNSELORS,1,1,104915,104915,DENIED,0
PHYSICIANS MUTUAL INSURANCE COMPANY,COUNSELORS,1,1,98051,98051,DENIED,0
PRICEWATERHOUSECOOPERS LLP,REAL ESTATE,1,1,56930,58000,DENIED,1070
JOHN J SAVIGNANO CPA PC,COMPUTER OCCUPATION,1,0,55764.8,56160,DENIED,395.2
BAKER HUGHES INCORPORATED,IT MANAGERS,1,1,87381,101062.5,DENIED,13681.5
GREENLAND US HOLDINGS INC,LAB TECHNICIANS,1,1,73299,87360,DENIED,14061
HW HOLDINGS LLC,LAB TECHNICIANS,1,1,71802,116000,DENIED,44198
KNOWLEDGE BUILDERS INC,LOGISTICIANS,4,1,65541,70000,DENIED,4459
LINDQUIST VON HUSEN and JOYCE LLP,LOGISTICIANS,1,1,74693,75000,DENIED,307
SPOKANE INTERNATIONAL ACADEMY,MANAGERS,1,1,26000,26000,DENIED,0
TELECOM TECHNOLOGY SERVICES INC,MANAGERS,25,1,56056,50056,DENIED,6000
UNICON PHARMA INC,MARKETING,1,1,47507,50000,DENIED,2493
HARBOR FREIGHT TOOLS USA INC,MARKETING,1,1,63086,75000,DENIED,11914
INTERNATIONAL TECHNOLOGY SOLUTIONS INC,MARKETING,1,1,50500,45406,DENIED,5094
LARADORBECKER SECURITIES CORPORATION,MARKETING,1,1,65000,65000,DENIED,0
AEGON GLOBAL SERVICES LLC,MARKETING,1,1,75317,75317,DENIED,0
CB CONSTRUCTORS INC,MARKETING,1,1,73154,85000,DENIED,11846
DELOITTE CONSULTING LLP,MARKETING,15,1,81661,104000,DENIED,22339
ERNST and YOUNG US LLP,MULTIMEDIA ARTISTS AND ANIMATORS,1,1,49733,57000,DENIED,7267
ERNST and YOUNG US LLP,COMPUTER OCCUPATION,1,1,49733,57000,DENIED,7267
GOOGLE INC,ENGINEERS ,1,1,121259,135000,DENIED,13741
REFULGENT TECHNOLOGIES INC,SCIENTIST,1,1,63398,63000,DENIED,398
SPHERE TECHNOLOGIES INC,SCIENTIST,1,1,65000,65000,DENIED,0
UNIVERSITY OF COLORADO,ENTERTAINMENT,1,1,75858,95000,DENIED,19142
CLARKE PUBLIC ACCOUNTING CO,FINANCE,1,1,57574,65000,DENIED,7426
HIKI INC,COMPUTER OCCUPATION,1,1,103688,110000,DENIED,6312
DAN BRADLEY GLASS SHOP INC,SCIENTIST,1,1,0,18720,DENIED,18720
EASTERN VIRGINIA MEDICAL SCHOOL,SCIENTIST,1,1,87651,114905.23,DENIED,27254.23
FEDERAL HOME LOAN MORTGAGE CO,SCIENTIST,1,1,90979,81100,DENIED,9879
INTERNATIONAL TECHNOLOGY SOLUTIONS INC,SCIENTIST,1,1,50500,45406,DENIED,5094
KPMG LLP,SCIENTIST,1,1,91395,94000,DENIED,2605
MEDICAL COLLEGE OF WISCONSIN,SCIENTIST,1,1,47715,58000,DENIED,10285
WILMER TECHNOLOGIES INC,SCIENTIST,1,1,76918,83741,DENIED,6823
NOMURA AMERICA SERVICES LLC,SCIENTIST,1,1,131997,127000,DENIED,4997
XENITH BANK,MARKETING,1,1,73000,73153,DENIED,153
APPLIED INDUSTRIAL TECHNOLOGIES INC,MARKETING,1,1,67746,71000,DENIED,3254
GREG BEECHE LOGISTICS LLC,MARKETING,1,1,67413,67413,DENIED,0
IBM INDIA PRIVATE LIMITED,MARKETING,1,1,90954,90286,DENIED,668
LUCID TECHNOLOGIES INC,MARKETING,1,1,65146,70000,DENIED,4854
NEW HOPE CLINICAL RESEARCH INC,MATHEMATICIANS AND STATISTICIANS,1,1,46197,47000,DENIED,803
THE UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT HOUSTON,MATHEMATICIANS AND STATISTICIANS,1,1,40602,47476,DENIED,6874
TRITON GOLD INC,MATHEMATICIANS AND STATISTICIANS,1,1,34507.2,29120,DENIED,5387.2
AFFORDABLE HYPERBARIC SOLUTIONS,MATHEMATICIANS AND STATISTICIANS,1,1,49462.4,49462.4,DENIED,0
COMPUNNEL SOFTWARE GROUP INC,HEALTHCARE,1,1,68827,65000,DENIED,3827
INDIJUDENTAL PC,ENGINEERS ,1,1,113110.4,100000,DENIED,13110.4
METRO INTERNATIONAL REALTY PLLC,HEALTHCARE,1,1,23443,18000,DENIED,5443
MIMETIC SERVICES LLC,DOCTORS,1,1,43035,43035,DENIED,0
SUSQUEHANNA INTERNATIONAL GROUP,LAWYERS AND LEGAL SUPPORT WORKERS,1,1,84552,84600,DENIED,48
TEK SERVICES LLC,HEALTHCARE,1,1,67184,69000,DENIED,1816
THE TRANSLATIONAL GENOMICS RESEARCH INSTITUTE,HEALTHCARE,1,1,37788.75,37788.75,DENIED,0
WIPRO LIMITED,EDUCATION,4,1,63794,63794,DENIED,0
AandP PARKING CORPORATION,EDUCATION,1,1,49200,48000,DENIED,1200
H2OAI INC,ENTERTAINMENT,1,1,117083,117083,DENIED,0
